DATAPREG,PREULT
2025-09-01,52.55
2025-09-02,52.26
2025-09-03,51.97
2025-09-04,51.67
2025-09-05,51.99
2025-09-08,51.6
2025-09-09,51.91
2025-09-10,50.8
2025-09-11,51.55
2025-09-12,50.43
2025-09-15,50.5
2025-09-16,50.68
2025-09-17,50.9
2025-09-18,50.73
2025-09-19,50.5
2025-09-22,50.35
2025-09-23,50.13
2025-09-24,49.95
2025-09-25,50.24
2025-09-26,49.45
2025-09-29,49.17
2025-09-30,49.9
2025-10-01,49.89
2025-10-02,50.1
2025-10-03,50.7
2025-10-06,49.5
2025-10-07,48.89
2025-10-08,47.83
2025-10-09,47.69
2025-10-10,48.19
2025-10-13,48.21
2025-10-14,47.99
2025-10-15,47.63
2025-10-16,47.8
2025-10-17,47.63
2025-10-20,47.71
2025-10-21,47.48
2025-10-22,48.22
2025-10-23,48.67
2025-10-24,49.1
2025-10-27,49.11
2025-10-28,49.47
2025-10-29,49.1
2025-10-30,48.69
2025-10-31,48.89
2025-11-03,48.55
2025-11-04,49.41
2025-11-05,48.9
2025-11-06,48.65
2025-11-07,47.62
2025-11-10,46.7
2025-11-11,46.55
2025-11-12,48.07
2025-11-13,47.66
2025-11-14,47.36
2025-11-17,48.5
2025-11-18,48.53
2025-11-19,48.33
2025-11-21,48.31
2025-11-24,47.98
2025-11-25,47.8
2025-11-26,47.86
2025-11-27,48.2
2025-11-28,47.58
2025-12-01,47.48
2025-12-02,48.2
2025-12-03,48.95
2025-12-04,49.54
2025-12-05,50.5
2025-12-08,50.39
2025-12-09,50.45
2025-12-10,51.67
2025-12-11,49.47
2025-12-12,49.06
2025-12-15,48.71
2025-12-16,48.92
2025-12-17,49.79
2025-12-18,52.65
2025-12-19,51.32
2025-12-22,51.2
2025-12-23,51.5
2025-12-26,51.68
2025-12-29,51.55
2025-12-30,51.45
2026-01-02,51.87
2026-01-05,50.43
2026-01-06,50.23
2026-01-07,49.94
2026-01-08,49.57
2026-01-09,50.99
2026-01-12,52.11
2026-01-13,51.51
2026-01-14,52.17
2026-01-15,52.35
2026-01-16,51.6
2026-01-19,51.85
2026-01-20,51.35
2026-01-21,52.2
2026-01-22,52.19
2026-01-23,52.25
2026-01-26,51.67
2026-01-27,51.28
2026-01-28,51.76
2026-01-29,49.36
2026-01-30,49.33
2026-02-02,48.72
2026-02-03,49.09
2026-02-04,49.6
2026-02-05,50.43
2026-02-06,50.2
2026-02-09,51.34
2026-02-10,51.12
2026-02-11,57.93
2026-02-12,58.25
2026-02-13,58.34
2026-02-18,57.2
2026-02-19,57.13
2026-02-20,56.86
2026-02-23,57.0
2026-02-24,58.58
2026-02-25,58.9
2026-02-26,58.98
2026-02-27,58.0
