DATAPREG,PREULT
2025-09-01,55.6
2025-09-02,55.39
2025-09-03,55.6
2025-09-04,55.71
2025-09-05,56.22
2025-09-08,56.36
2025-09-09,56.19
2025-09-10,56.58
2025-09-11,57.02
2025-09-12,57.0
2025-09-15,57.5
2025-09-16,57.7
2025-09-17,57.8
2025-09-18,57.69
2025-09-19,57.92
2025-09-22,58.0
2025-09-23,57.67
2025-09-24,57.89
2025-09-25,58.21
2025-09-26,57.09
2025-09-29,57.28
2025-09-30,57.58
2025-10-01,58.31
2025-10-02,58.7
2025-10-03,58.59
2025-10-06,59.59
2025-10-07,58.75
2025-10-08,59.2
2025-10-09,59.11
2025-10-10,58.87
2025-10-13,59.75
2025-10-14,59.75
2025-10-15,60.86
2025-10-16,60.3
2025-10-17,60.13
2025-10-20,60.9
2025-10-21,60.8
2025-10-22,61.88
2025-10-23,61.76
2025-10-24,61.73
2025-10-27,61.66
2025-10-28,62.2
2025-10-29,63.33
2025-10-30,63.81
2025-10-31,65.26
2025-11-03,65.35
2025-11-04,64.62
2025-11-05,65.73
2025-11-06,65.5
2025-11-07,64.78
2025-11-10,65.21
2025-11-11,65.04
2025-11-12,65.76
2025-11-13,65.67
2025-11-14,65.27
2025-11-17,65.22
2025-11-18,65.02
2025-11-19,64.95
2025-11-21,65.16
2025-11-24,65.09
2025-11-25,65.6
2025-11-26,66.58
2025-11-27,66.33
2025-11-28,67.4
2025-12-01,67.92
2025-12-02,68.48
2025-12-03,70.69
2025-12-04,71.92
2025-12-05,70.22
2025-12-08,69.74
2025-12-09,69.78
2025-12-10,71.06
2025-12-11,72.0
2025-12-12,68.61
2025-12-15,69.03
2025-12-16,69.29
2025-12-17,70.17
2025-12-18,70.35
2025-12-19,70.85
2025-12-22,72.92
2025-12-23,72.9
2025-12-26,73.12
2025-12-29,72.12
2025-12-30,71.96
2026-01-02,72.38
2026-01-05,73.12
2026-01-06,75.87
2026-01-07,76.32
2026-01-08,75.58
2026-01-09,74.72
2026-01-12,74.74
2026-01-13,75.35
2026-01-14,78.92
2026-01-15,78.85
2026-01-16,78.88
2026-01-19,78.57
2026-01-20,80.08
2026-01-21,82.5
2026-01-22,82.98
2026-01-23,85.02
2026-01-26,83.07
2026-01-27,84.9
2026-01-28,86.97
2026-01-29,87.41
2026-01-30,84.32
2026-02-02,84.82
2026-02-03,88.99
2026-02-04,89.43
2026-02-05,86.45
2026-02-06,85.63
2026-02-09,87.31
2026-02-10,87.05
2026-02-11,90.09
2026-02-12,89.23
2026-02-13,87.03
2026-02-18,83.92
2026-02-19,84.09
2026-02-20,86.81
2026-02-23,87.39
2026-02-24,87.73
2026-02-25,89.97
2026-02-26,89.21
2026-02-27,88.47
