DATAPREG,PREULT
2025-09-01,121.61
2025-09-02,120.73
2025-09-03,120.76
2025-09-04,121.59
2025-09-05,124.87
2025-09-08,125.03
2025-09-09,123.79
2025-09-10,124.87
2025-09-11,126.4
2025-09-12,125.43
2025-09-15,127.06
2025-09-16,126.5
2025-09-17,127.18
2025-09-18,129.37
2025-09-19,131.47
2025-09-22,129.56
2025-09-23,132.18
2025-09-24,131.12
2025-09-25,129.26
2025-09-26,128.39
2025-09-29,130.47
2025-09-30,132.17
2025-10-01,131.15
2025-10-02,127.27
2025-10-03,127.58
2025-10-06,127.34
2025-10-07,124.81
2025-10-08,123.86
2025-10-09,123.32
2025-10-10,122.21
2025-10-13,123.53
2025-10-14,124.83
2025-10-15,126.61
2025-10-16,129.0
2025-10-17,128.89
2025-10-20,130.29
2025-10-21,130.23
2025-10-22,130.1
2025-10-23,130.65
2025-10-24,133.11
2025-10-27,132.04
2025-10-28,131.84
2025-10-29,131.25
2025-10-30,131.87
2025-10-31,131.83
2025-11-03,133.3
2025-11-04,133.61
2025-11-05,136.26
2025-11-06,136.42
2025-11-07,137.11
2025-11-10,137.0
2025-11-11,137.66
2025-11-12,141.41
2025-11-13,140.75
2025-11-14,143.1
2025-11-17,139.1
2025-11-18,136.08
2025-11-19,136.67
2025-11-21,137.08
2025-11-24,140.62
2025-11-25,140.64
2025-11-26,141.48
2025-11-27,141.85
2025-11-28,140.99
2025-12-01,139.73
2025-12-02,143.88
2025-12-03,141.78
2025-12-04,143.45
2025-12-05,137.42
2025-12-08,137.19
2025-12-09,136.34
2025-12-10,135.01
2025-12-11,134.51
2025-12-12,136.85
2025-12-15,139.0
2025-12-16,133.76
2025-12-17,133.71
2025-12-18,135.31
2025-12-19,136.34
2025-12-22,136.5
2025-12-23,141.03
2025-12-26,134.05
2025-12-29,132.41
2025-12-30,133.39
